,Company,Skills,More info
0,Pure Tech Codex Private Limited,"['rest', 'python', 'database', 'django', 'debugging', 'mongodb']",https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
1,Surya Informatics Solutions Pvt. Ltd.,"['python', 'webtechnologies', 'linux', 'mobile', 'mysql', 'angularjs', 'javascript']",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
2,Gemini Solutions,"['python', 'mobile', 'svn', 'nosql', 'pythonscripting', 'git', 'api', 'sqldatabase']",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
3,TEAMPLUS STAFFING SOLUTION PVT. LTD.,"['python', 'pythonscripting', 'shellscripting', 'unix']",https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp
4,east india securities ltd.,"['python', 'hadoop', 'machinelearning']",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
5,TandA HR Solutions,"['python', 'django', 'sql']",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-0-to-3-yrs-jobid-dMtCdFUMRY5zpSvf__PLUS__uAgZw==&source=srp
6,TECHNOPARK TRIVANDRUM,"['python', 'oops', 'storage']",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-5-yrs-jobid-GUGbgCPmPIZzpSvf__PLUS__uAgZw==&source=srp
7,hk infosoft,"['python', 'django', '', 'framework']",https://www.timesjobs.com/job-detail/python-developer-hk-infosoft-ahmedabad-2-to-3-yrs-jobid-qPkmbRWxs5dzpSvf__PLUS__uAgZw==&source=srp
8,APPLYCUP HIRING SOLUTIONS LLP,"['python', 'django', 'html5', 'javascript']",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-2-to-15-yrs-jobid-FHYQtX1BOyxzpSvf__PLUS__uAgZw==&source=srp
9,TandA HR Solutions,"['python', 'git', 'django']",https://www.timesjobs.com/job-detail/python-developers-tanda-hr-solutions-chandigarh-2-to-5-yrs-jobid-OtVSvO0kmYNzpSvf__PLUS__uAgZw==&source=srp
